"Magnetic Susceptibility (emu/g Oe)(Temperature (K)), created by Plot Digitizer, 2.6.8",
"Date: 22/03/25, 9:15:01",
,
,
449,
Temperature (K),Magnetic Susceptibility (emu/g Oe)
3.13127,-0.000950617
3.15444,-0.000916049
3.18919,-0.000907407
3.21236,-0.000864198
3.22394,-0.00082963
3.29344,-0.000790741
3.30502,-0.000756173
3.32819,-0.00074321
3.37452,-0.000708642
3.37452,-0.000691358
3.40927,-0.00065679
3.44402,-0.00061358
3.49035,-0.000579012
3.54826,-0.000548765
3.55985,-0.00052716
3.60618,-0.000505556
3.61776,-0.000483951
3.64093,-0.000458025
3.68726,-0.00043642
3.71042,-0.000414815
3.73359,-0.00039321
3.75676,-0.000380247
3.79151,-0.000337037
3.80309,-0.00030679
3.87259,-0.000285185
3.96525,-0.000246296
4,-0.00022037
4.11583,-0.000194444
4.22008,-0.000168519
4.28958,-0.000142593
4.34749,-0.000133951
4.48649,-0.000108025
4.57915,-7.78E-05
4.63707,-6.91E-05
4.78764,-4.75E-05
4.91506,-3.02E-05
5.13514,-8.64E-06
5.32046,4.32E-06
5.49421,4.32E-06
5.65637,4.32E-06
5.72587,4.32E-06
5.7722,4.32E-06
5.94595,1.30E-05
6.13127,1.30E-05
6.44402,-4.32E-06
6.62934,1.30E-05
6.98842,8.64E-06
1.89189,-0.000769136
1.99614,-0.000747531
2.06564,-0.000734568
2.16988,-0.0007
2.27413,-0.000665432
2.47104,-0.000617901
2.56371,-0.000579012
2.69112,-0.000544444
2.73745,-0.000509877
2.81853,-0.000496914
2.9112,-0.000453704
3.71042,-0.000198765
3.05019,-0.000397531
3.08494,-0.000380247
3.14286,-0.000358642
3.2471,-0.000324074
3.35135,-0.000280864
3.49035,-0.00026358
3.49035,-0.000254938
3.57143,-0.000224691
3.60618,-0.000211728
3.66409,-0.000198765
3.75676,-0.00017284
3.76834,-0.000146914
3.83784,-0.000142593
3.88417,-0.00012963
3.94209,-0.000116667
4.03475,-9.94E-05
4.11583,-7.78E-05
4.20849,-7.35E-05
4.23166,-5.19E-05
4.39382,-5.62E-05
4.42857,-3.89E-05
4.64865,-3.02E-05
4.7529,-8.64E-06
4.86873,-1.30E-05
5.01931,0
5.2278,0
5.38996,0
5.55212,0
5.74903,8.64E-06
5.86486,4.32E-06
6.06178,4.32E-06
6.22394,-1.30E-05
6.46718,8.64E-06
6.62934,8.64E-06
6.83784,8.64E-06
7,-4.32E-06
