"r (mWcm)(T (K)), created by Plot Digitizer, 2.6.8",
9.28675,0.140725
9.35422,0.268657
9.42169,0.402985
9.42169,0.466951
9.35422,0.505331
9.42169,0.575693
9.42169,0.614073
9.55663,0.671642
9.75904,0.710021
9.82651,0.742004
10.0289,0.754797
10.0964,0.780384
10.3663,0.78678
10.7711,0.761194
10.8386,0.780384
10.906,0.767591
11.1759,0.767591
11.6482,0.767591
11.3783,0.80597
11.1084,0.773987
11.9181,0.767591
11.9855,0.780384
12.1205,0.80597
12.2554,0.799574
12.4578,0.812367
12.7952,0.812367
13.2,0.831556
13.2675,0.831556
13.4699,0.84435
13.7398,0.831556
13.8747,0.84435
14.2795,0.837953
14.4145,0.850746
14.6169,0.863539
14.9542,0.863539
15.2241,0.863539
15.4265,0.889126
15.5614,0.882729
15.8988,0.901919
16.506,0.927505
16.8434,0.927505
17.2482,0.959488
17.4506,0.972281
17.8554,0.978678
18.5301,1.01066
19.0024,1.01706
19.2048,1.03625
19.5422,1.05544
23.4554,1.24094
20.2169,1.07463
20.3518,1.10021
20.6217,1.10021
20.959,1.1258
21.2289,1.1322
21.6337,1.15778
21.9036,1.15778
21.9711,1.16418
22.3084,1.17058
22.4434,1.19616
22.7133,1.20256
22.8482,1.21535
23.1855,1.22815
24.4675,1.3049
23.9277,1.27292
24.3325,1.29211
24.6699,1.33049
25.0072,1.34328
25.3446,1.35608
25.547,1.37527
25.9518,1.39446
26.0867,1.40725
26.6265,1.43923
26.8289,1.47122
26.9639,1.48401
27.1663,1.4968
27.4361,1.50959
27.7735,1.52878
27.9759,1.54797
28.3807,1.57996
28.7181,1.59915
28.9205,1.61834
29.1229,1.63753
29.3253,1.65672
29.5952,1.67591
29.7976,1.70149
