data number	reference number	common formula of materials	full material name	shape	structure	lattice constant a	lattice constant b	lattice constant c	lattice alpha	lattice beta	lattice gamma	Tc at pcrit or Tc at atmospheric pressure	maximum tc under pressure	applied pressure for tcmax	Critical pressure/GPa at which Tc can be observed	tc measurement method	alpha in Tc=A*M^(-alpha), isotope effect	isotope element	slope at P=0 in Tc vs P plot 	lowest temperature for measurement (not superconducting)	Hc1 at 0 K for poly crystal	Hc2 at 0 K for poly crystal	-slope in Hc2 vs T at Tc for poly crystal	coherence length at 0 K for poly crystal	penetration depth at 0 K for poly crystal	Ginzburg-Landau order parameter	energy gap at 0 K, delta(0)	method of measuring energy gap	coefficient of electronic specific heat	Debye temperature	Curie temperature	Neel temperature	figure1 file name	figure2 filename	figure description	table file name	table description	comment	figure1 data file name	f2 data file name	title	year	keyword	institute	journal	author	sample	comments
num	refno	name	fullname	shape	str	lata	latb	latc	alpha	beta	lgamma	tc	tcmax	pmax	pcrit	tcmeth	isotope	isoel	dtcdp	tcn	hc1zero	hc2zero	dhc2dt	cohere	penet	glpar	gap	gapmeth	gamma	debyet	curiet	neelt	fig1	fig2	figname	tbl	tblname	commt	f1_filename	f2_filename	title	year	keyword	institute	journal	author	sample	comments
31	PRL0862130	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	2	BEDT-TTF							9.2			0																							magnetic phase diagram			Quantum Melting of the Quasi-Two-Dimensional Vortex Lattice in kappa-(ET)2Cu(NCS)2	2001			Phys.Rev.Lett., 86(2001)2130	J. S. Qualls,J.S.Brooks,M.M.Mola,S.Hill		
32	P063052506	SF5CH2CF2SO3	beta''-(BEDT-TTF)2SF5CH2CF2SO3	2	BEDT-TTF							5.2			0										1													anisotropy factor = 800. penet(c) = 800 micron-m			Unusual temperature dependence of the London penetration depth in all-organic beta-(ET)2SF5CH2CF2SO3 single crystals	2001			Phys.Rev.B, 63(2001)52506	A.M.Kini,G.L.Gard,J.Mohtasham,J.Schlueter,R.Prozorov,R.W.Giannetta,R.W.Winter		
33	PHC3510261	SF5CH2CF2SO3	beta''-(BEDT-TTF)2SF5CH2CF2SO3	2	BEDT-TTF							4.34			0	3		D																				isotope (d8: substitution of all eight H atoms with D). delta-Tc = +0.27 +- 0.06 K.			Universal inverse deuterium isotope effect on the Tc of BEDT-TTF-based molecular superconductors	2001			Physica C, 351(2001)261	A.M.Kini,B.H.Ward,G.L.Gard,H.H.Wang,J.A.Schlueter,J.Mohtasham,R.W.Winter,U.Geiser		
34	PHB1430357	I3	beta<L>-(BEDT-TTF)2I3	2	BEDT-TTF							1.15			0	3	0.28	D				2.48		587														isotope (d8: substitution of all eight H atoms with D). delta-Tc = +0.28 K. Hc2(0)//b = 2.09, //c = 0.0806 T.				1986			Physica B, 143(1986)357	C.-P.Heidmann,D.Schweitzer,K.Andres		
35	PHB1430334	I3	beta<H>-(BEDT-TTF)2I3	2	BEDT-TTF							7			0	2		D															OTC35					isotope (d8: substitution of all eight H atoms with D). delta-Tc = (-) K.				1986			Physica B, 143(1986)334	H.Schwenk,H.Veith,K.Andres		
36	ACP3140563	I3	beta<H>-(BEDT-TTF)2I3	2	BEDT-TTF							8			0	1		C																				isotope (substitution of the central double bonded C atoms with C<13>). delta-Tc = -0.6 K.				1992			C.R.Acad.Sci.Paris, 314(1992)563	C.Bourbonnais,C.Lenoir,D.Jerome,J.-P.Buisson,P.Auban-Senzier,S.Lefrant,V.Merzhanov		
37	SYN0552542	I3	beta<H>-(BEDT-TTF)2I3	2	BEDT-TTF							8			0	3		C																				isotope (substitution of the central double bonded C atoms with C<13>). delta-Tc = -0.2 K.			Isotope effect in superconductivity on <13>C substituted beta<H>-(BEDT-TTF)2I3  	1993			Synth.Met., 55-57(1993)2542	C.Bourbonnais,C.Lenoir,D.Jerome,E.Canadell,P.Auban-Senzier,P.Batail		
38	MCL2340127	I3	beta<H>-(BEDT-TTF)2I3	2	BEDT-TTF							6.95			0	2		C																				isotope (substitution of the central double bonded C atoms with C<13>). delta-Tc = 0 +- 0.1 K.			The central bond <13>C=<13>C isotope effect for superconductivity in the high-Tc beta*-(ET)2I3 phase and its implications regarding the superconducting pairing mechanism in TTF-based organic superconductors	1993			Mol.Cryst.Liq.Cryst., 234(1993)127	A.M.Kini,D.H.Parker,E.L.Venturini,H.H.Wang,J.A.Schlueter,J.D.B.Sutin,J.E.Schirber,J.M.Williams,J.R.Ferraro,K.D.Karlson,K.R.Lykke,P.Stout,P.Wurz,R.A.Klemm,S.K.Kumar,U.Geiser		
39	PHC2270010	I3	beta<H>-(BEDT-TTF)2I3	2	BEDT-TTF							7.2			0	2		C																				isotope (substitution of all doubly bonded C atoms with C<13>). delta-Tc = +0.1 K.			The isotope effect for superconductivity in high-Tc beta*-(ET)2I3 with <13>C isotopic substitution in the ring and central C=C atoms of bis(ethylenedithio)tetrathiafulvalene(ET)	1994			Physica C, 227(1994)10-14	A.M.Kini,E.L.Venturini,H.H.Wang,J.A.Schlueter,J.D.B.Sutin,J.E.Schirber,J.M.Williams,K.D.Carlson,W.R.Bayless	organic	
40	SYN0552437	Ag(CN)2/H2O	kappa-(BEDT-TTF)2Ag(CN)2/H2O	2	BEDT-TTF							5			0	1		D																				isotope (d8: substitution of all eight H atoms with D). delta-Tc = +1.0 K.			Critical temperature (Tc) and crystal structures of kappa-(BEDT-TTF)2Ag(CN)2H2O (Tc=5K) and kappa-(BEDT-TTF-d8)2Ag(CN)2H2O (Tc=6K) 	1993			Synth.Met., 55-57(1993)2437	H.Inokuchi,H.Mori,I.Hirabayashi,S.Tanaka,T.Mori,Y.Maruyama		
