data number	reference number	common formula of materials	full material name	shape	structure	lattice constant a	lattice constant b	lattice constant c	lattice alpha	lattice beta	lattice gamma	Tc at pcrit or Tc at atmospheric pressure	maximum tc under pressure	applied pressure for tcmax	Critical pressure/GPa at which Tc can be observed	tc measurement method	alpha in Tc=A*M^(-alpha), isotope effect	isotope element	slope at P=0 in Tc vs P plot 	lowest temperature for measurement (not superconducting)	Hc1 at 0 K for poly crystal	Hc2 at 0 K for poly crystal	-slope in Hc2 vs T at Tc for poly crystal	coherence length at 0 K for poly crystal	penetration depth at 0 K for poly crystal	Ginzburg-Landau order parameter	energy gap at 0 K, delta(0)	method of measuring energy gap	coefficient of electronic specific heat	Debye temperature	Curie temperature	Neel temperature	figure1 file name	figure2 filename	figure description	table file name	table description	comment	figure1 data file name	f2 data file name	title	year	keyword	institute	journal	author	sample	comments
num	refno	name	fullname	shape	str	lata	latb	latc	alpha	beta	lgamma	tc	tcmax	pmax	pcrit	tcmeth	isotope	isoel	dtcdp	tcn	hc1zero	hc2zero	dhc2dt	cohere	penet	glpar	gap	gapmeth	gamma	debyet	curiet	neelt	fig1	fig2	figname	tbl	tblname	commt	f1_filename	f2_filename	title	year	keyword	institute	journal	author	sample	comments
603	JPS081024716	PF6	(TMTTF)2PF6		TMTTF							2.27	2.3	4.58	4.18								0.864	264									OHC603					P-induced SC. nearly hydrostatic P. SC data for P = 4.48 GPa.. (dHc2/dT)b' = 0.738, (dHc2/dT)c* = 0.246 T/K. cohere(b') = 223, cohere(c*) = 75.1 A. Hc2 measured for a, b', c* direction.	OHC603.dat		Anisotropy of Upper Critical Field in a One-Dimensional Organic System, (TMTTF)2PF6 under High Pressure	2012		Institute for Material Research, Tohoku University, Sendai 980-8577, Japan	J.Phys.Soc.Jpn, 81(2012)024716	Mika KANO,Hatsumi MORI,Kazuyuki MATSUBAYASHI,Miho ITOI,Masato HEDO,Timothy P. MURPHY,Stanley W. TOZER,Yoshiya UWATOKO,Toshikazu NAKAMURA		
604	JPS081024716	PF6	(TMTTF)2PF6		TMTTF							1.89	2.3	4.58	4.18								0.773	338									OHC604					P-induced SC. nearly hydrostatic P. SC data for P = 5.10 GPa.. (dHc2/dT)b' = 0.630, (dHc2/dT)c* = 0.187 T/K. cohere(b') = 276, cohere(c*) = 81.8 A. Hc2 measured for a, b', c* direction.	OHC604.dat		Anisotropy of Upper Critical Field in a One-Dimensional Organic System, (TMTTF)2PF6 under High Pressure	2012		Institute for Material Research, Tohoku University, Sendai 980-8577, Japan	J.Phys.Soc.Jpn, 81(2012)024716	Mika KANO,Hatsumi MORI,Kazuyuki MATSUBAYASHI,Miho ITOI,Masato HEDO,Timothy P. MURPHY,Stanley W. TOZER,Yoshiya UWATOKO,Toshikazu NAKAMURA		
605	JPS081024716	PF6	(TMTTF)2PF6		TMTTF							1.51	2.3	4.58	4.18							0.47	0.457	499									OHC605					P-induced SC. nearly hydrostatic P. SC data for P = 5.64 GPa.. (dHc2/dT)b' = 0.465, (dHc2/dT)c* = 0.086 T/K. cohere(b') = 507, cohere(c*) = 94.0 A. Hc2 measured for a, b', c* direction.	OHC605.dat		Anisotropy of Upper Critical Field in a One-Dimensional Organic System, (TMTTF)2PF6 under High Pressure	2012		Institute for Material Research, Tohoku University, Sendai 980-8577, Japan	J.Phys.Soc.Jpn, 81(2012)024716	Mika KANO,Hatsumi MORI,Kazuyuki MATSUBAYASHI,Miho ITOI,Masato HEDO,Timothy P. MURPHY,Stanley W. TOZER,Yoshiya UWATOKO,Toshikazu NAKAMURA		
606	JPS081024716	PF6	(TMTTF)2PF6		TMTTF							2.3	2.3	4.58	4.18							1.36	0.86										OHC606	OPH606				P-induced SC. nearly hydrostatic P. SC data for P = 4.58 GPa.. SP: spin Peierls, CL: charged localized in OPH606(Fig)	OHC606.dat	OPH606.dat	Anisotropy of Upper Critical Field in a One-Dimensional Organic System, (TMTTF)2PF6 under High Pressure	2012		Institute for Material Research, Tohoku University, Sendai 980-8577, Japan	J.Phys.Soc.Jpn, 81(2012)024716	Mika KANO,Hatsumi MORI,Kazuyuki MATSUBAYASHI,Miho ITOI,Masato HEDO,Timothy P. MURPHY,Stanley W. TOZER,Yoshiya UWATOKO,Toshikazu NAKAMURA		
610	PRB085220506	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2		BEDT-TTF							10.5			0																		OHC610					"grown by electrochemical method. Hc2 measured by torque and resistivity. There exists ""fluctuating SC states, FSC""."	OHC610.dat		Fluctuating superconductivity in the strongly correlated two-dimensional organic superconductor kappa-(BEDT-TTF)2Cu(NCS)2 in an in-plane magnetic field	2012		National Institute for Materials Science, Ibaraki 305-0003, Japan	Phys.Rev.B, 85(2012)220506	Satoshi Tsuchiya,Jun-ichi Yamada,Satoshi Tanda,Koichi Ichimura,Taichi Terashima,Nobuyuki Kurita,Kota Kodama,Shinya Uji		
611	PRB087060505	K3.1	KxPicene		Picene							6.7			0																							mixture(Kx,Picene) - sealed in pyrex tube - annealed(473K,10days). R(300) = 0.42 Ohm.cm, R(10) = 100 Ohm.cm			Observation of zero resistivity in K-doped picene	2013		Research Laboratory for Surface Science, Okayama University, Okayama 700-8530, Japan	Phys.Rev.B, 87(2013)060505	Kazuya Teranishi,Xuexia He,Yusuke Sakai,Masanari Izumi,Hidenori Goto,Ritsuko Eguchi,Yasuhiro Takabayashi,Takashi Kambe,Yoshihiro Kubozono		
612	PRB087060505	K3.5	KxPicene		Picene	8.579	5.843	13.13		94.37		10.9			0																							mixture(Kx,Picene) - sealed in pyrex tube - annealed(473K,10days). R(300) = 0.28 Ohm.cm.			Observation of zero resistivity in K-doped picene	2013		Research Laboratory for Surface Science, Okayama University, Okayama 700-8530, Japan	Phys.Rev.B, 87(2013)060505	Kazuya Teranishi,Xuexia He,Yusuke Sakai,Masanari Izumi,Hidenori Goto,Ritsuko Eguchi,Yasuhiro Takabayashi,Takashi Kambe,Yoshihiro Kubozono		
615	JPC024345701	La1	La1-phenanthrene		phenanthrene	8.481	6.187	9.512		97.95		6.1							1.53														OTC615	OHC615				Space group: P2<1>. SC volume fraction=46.1% at 2.5K. (dTc/dP)/Tc = 0.25 GPa(-1). Effective magnetic moment= 0.34 Myu-B/mol	OTC615.dat	OHC615.dat	Enhanced superconductivity by rare-earth metal doping in phenanthrene	2012		Hefei National Laboratory for Physical Science at Microscale and Department of Physics, University of Science and Technology of China, Hefei, Anhui 230026, People's Republic of China	J.Phys.: Condens.Matter, 24(2012)345701	X F Wang,X G Luo,J J Ying,Z J Xiang,S L Zhang,R R Zhang,Y H Zhang,Y J Yan,A F Wang,P Cheng,G J Ye,X H Chen		
616	JPC024345701	Sm1	Sm1-phenanthrene		phenanthrene	8.475	6.18	9.505		98.1		6																				15						Space group: P2<1>. SC volume fraction=49.8% at 2.5K. Effective magnetic moment= 0.64 Myu-B/mol			Enhanced superconductivity by rare-earth metal doping in phenanthrene	2012		Hefei National Laboratory for Physical Science at Microscale and Department of Physics, University of Science and Technology of China, Hefei, Anhui 230026, People's Republic of China	J.Phys.: Condens.Matter, 24(2012)345701	X F Wang,X G Luo,J J Ying,Z J Xiang,S L Zhang,R R Zhang,Y H Zhang,Y J Yan,A F Wang,P Cheng,G J Ye,X H Chen		
617	JPS081024716	PF6	(TMTTF)2PF6		TMTTF							2.1	2.27	4.58	4.2							4.5											OTC617	OHC617				Tc = 2.30, 1.79, 1.51 K and Hc2(0)//a = 4.5 T(linear fitting), 1.27, 0.50 T for P=4.58, 5.23, 5.64 GPa, respectively.	OTC617.dat	OHC617.dat	Anisotropy of Upper Critical Field in a One-Dimensional Organic System, (TMTTF)2PF6 under High Pressure	2012		Institute for Material Research, Tohoku University, Sendai 980-8577, Japan	J.Phys.Soc.Jpn, 81(2012)024716	Mika KANO,Hatsumi MORI,Kazuyuki MATSUBAYASHI,Miho ITOI,Masato HEDO,Timothy P. MURPHY,Stanley W. TOZER,Yoshiya UWATOKO,Toshikazu NAKAMURA		
618	JPS081024716	PF6	(TMTTF)2PF6	3	TMTTF							2.27											0.864	264									OHC618					SC properties at 4.48 GPa. DB values of (dHc2/dT) and  cohere for H//a. (dHc2/dT)=0.738, 0.246 T/K and cohere=223, 75.1 A for H//b' and c*, respectively.	OHC618.dat		Anisotropy of Upper Critical Field in a One-Dimensional Organic System, (TMTTF)2PF6 under High Pressure	2012		Institute for Material Research, Tohoku University, Sendai 980-8577, Japan	J.Phys.Soc.Jpn, 81(2012)024716	Mika KANO,Hatsumi MORI,Kazuyuki MATSUBAYASHI,Miho ITOI,Masato HEDO,Timothy P. MURPHY,Stanley W. TOZER,Yoshiya UWATOKO,Toshikazu NAKAMURA		
619	JPS081024716	PF6	(TMTTF)2PF6	3	TMTTF							1.89											0.773	338									OHC619					SC properties at 5.10 GPa. DB values of (dHc2/dT) and  cohere for H//a. (dHc2/dT)=0.630, 0.187 T/K and cohere=276, 81.8 A for H//b' and c*, respectively.	OHC619.dat		Anisotropy of Upper Critical Field in a One-Dimensional Organic System, (TMTTF)2PF6 under High Pressure	2012		Institute for Material Research, Tohoku University, Sendai 980-8577, Japan	J.Phys.Soc.Jpn, 81(2012)024716	Mika KANO,Hatsumi MORI,Kazuyuki MATSUBAYASHI,Miho ITOI,Masato HEDO,Timothy P. MURPHY,Stanley W. TOZER,Yoshiya UWATOKO,Toshikazu NAKAMURA		
620	JPS081024716	PF6	(TMTTF)2PF6	3	TMTTF							1.51											0.457	499									OHC620					SC properties at 5.64 GPa. DB values of (dHc2/dT) and  cohere for H//a. (dHc2/dT)=0.465, 0.086 T/K and cohere=507, 94.0 A for H//b' and c*, respectively.	OHC620.dat		Anisotropy of Upper Critical Field in a One-Dimensional Organic System, (TMTTF)2PF6 under High Pressure	2012		Institute for Material Research, Tohoku University, Sendai 980-8577, Japan	J.Phys.Soc.Jpn, 81(2012)024716	Mika KANO,Hatsumi MORI,Kazuyuki MATSUBAYASHI,Miho ITOI,Masato HEDO,Timothy P. MURPHY,Stanley W. TOZER,Yoshiya UWATOKO,Toshikazu NAKAMURA		
621	PHB4071715	TTF	TTF[Ni(dmit)2]2		Ni(dmit)2							1.71			0.7																		OTHP621					Tc(on), Tc(mid), Tc(zero) are 1.71, 1.21, 1.07, respectively. Thermopower(THP) were measured for various P. Figure shows for P=0.8 GPa. THP300 = -20 uV/K at 300 K.	OTHP621.dat		Thermoelectric power of TTF[Ni(dmit)2]2	2012		Laboratoire de Physique des Solides, UMR8502-CNRS, Universite  Paris-Sud, Bat. 510, Orsay F-91405, France	Physica B, 407(2012)1715	Wafa Kaddour,PascaleAuban-Senzier,ClaudePasquier,LydieValade		
622	PHB4071919	KHg(SCN)4	alpha-(BEDT-TTF)2KHg(SCN)4		BEDT-TTF							0.11			0.25							0.007	12	2200									OHC622					For T=>0.9, (dHc2/dT)//layer = 12 T/K. [cohere]/n/layer = 11 A. Hc2/n/layer = 7 mT. then [cohere]// = 2200 A. Anisotropy(cohere) = 200.	OHC622.dat		Magnetic field effects on the charge-density-wave and superconducting  states in pressurized alpha-(BEDT-TTF)2KHg(SCN)4	2012		Walther-Meissner-Institut, Bayerische Akademie der Wissenschaften, 85748 Garching, Germany	Physica B, 407(2012)1919	M.V. Kartsovnik,W.Biberacher,D.Andres,S.Jakob,M.Kunz,K. Neumaier,H.Muller,N.D.Kushch		
623	PRB086214507	K3.3	K3.3-Picene		Picene							7.1							-0.3														OTC623					7 K phase. Tc = Tc(mid)	OTC623.dat		Synthesis and physical properties of metal-doped picene solids	2012		Department of Physics, Okayama University, Okayama 700-8530, Japan	Phys.Rev.B, 86(2012)214507	Takashi Kambe,Xuexia He,Yosuke Takahashi,Yusuke Yamanari,Kazuya Teranishi,Hiroki Mitamura,Seiji Shibasaki,Keitaro Tomita,Ritsuko Eguchi,Hidenori Goto,Yasuhiro Takabayashi,Takashi Kato,Akihiko Fujiwara,Toshikaze Kariyado,Hideo Aoki,Yoshihiro Kubozono		
624	PRB086214507	K3.3	K3.3-Picene		Picene	8.571	6.27	14.001		91.68		15							12.5														OTC624					18 K phase. Tc = Tc(on). volume = 752 A3	OTC624.dat		Synthesis and physical properties of metal-doped picene solids	2012		Department of Physics, Okayama University, Okayama 700-8530, Japan	Phys.Rev.B, 86(2012)214507	Takashi Kambe,Xuexia He,Yosuke Takahashi,Yusuke Yamanari,Kazuya Teranishi,Hiroki Mitamura,Seiji Shibasaki,Keitaro Tomita,Ritsuko Eguchi,Hidenori Goto,Yasuhiro Takabayashi,Takashi Kato,Akihiko Fujiwara,Toshikaze Kariyado,Hideo Aoki,Yoshihiro Kubozono		
625	PRL099187002	Cu(NCS)2	k-(BEDT-TTF)2Cu(NCS)2		BEDT-TTF							9.1										130	20						26	200			OHC625					Hc2(0)//plane calculated from (dHc2/dT) at Tc using WHH. (dC) = 0.58 J/mol.K. (dC/gamma*Tc) = 2.5.	OHC625.dat		Calorimetric Evidence for a Fulde-Ferrell-Larkin-Ovchinnikov Superconducting State in the Layered Organic Superconductor  kappa-(BEDT-TTF)2Cu(NCS)2	2007		Department of Condensed Matter Physics, University of Geneva, CH-1211 Geneva 4, Switzerland	Phys.Rev.Lett., 99(2007)187002	R. Lortz,Y. Wang,A. Demuer,P. H. M. Bottger,B. Bergk,G. Zwicknagl,Y. Nakazawa,J. Wosnitza		
626	JPC0086005	Cl2/H2O	(BEDT-TTF)3Cl2/H2O	3	BEDT-TTF							2.9	3.6	1.13	1.02																		OTC626					Tc defined as R=0.95Rn. M-I transition at 150 K. CDW observed below T<M-I>			A study of the magnetoresistance of the charge-transfer salt (BEDT-TTF)3Cl2/H2O at hydrostatic pressures of up to 20 kbar: evidence for a charge-density-wave ground state and the observation of pressure-induced superconductivity	1996			J.Phys.Condens Matter, 8(1996)6005	W Lubczynski,S V Demishev,J Singleton,J M Caulfield,L du Croo de Jongh,C J Kepert,S J Blunde,W Hayes,M Kurmoo,P.Day		
627	JPS081023705	Ag(CF3)4(THE)	kappa/alpha1'-(BEDT-TTF)2Ag(CF3)4(THE)	3	BEDT-TTF							9.5			0																							4-layered structure composed of kappa- and alpha--type donor sheets. Tc measured by torque method			Tc of 11K Identified for the Third Polymorph of the (BEDT-TTF)2Ag(CF3)4(TCE) Organic Superconductor	2012		Department of Organic and Polymeric Materials, Graduate School of Science and Engineering, Tokyo Institute of Technology, Meguro, Tokyo 152-8552, Japan	J.Phys.Soc.Jpn, 81(2012)023705	Tadashi KAWAMOTO,Takehiko MORI,Akiko NAKAO,Youichi MURAKAMI,John A. SCHLUETER		
628	JPS081023705	Ag(CF3)4(THE)	kappa/alpha2'-(BEDT-TTF)2Ag(CF3)4(THE)	3	BEDT-TTF							11.5			0																							4-layered structure composed of kappa- and alpha--type donor sheets. Tc measured by torque method			Tc of 11K Identified for the Third Polymorph of the (BEDT-TTF)2Ag(CF3)4(TCE) Organic Superconductor	2012		Department of Organic and Polymeric Materials, Graduate School of Science and Engineering, Tokyo Institute of Technology, Meguro, Tokyo 152-8552, Japan	J.Phys.Soc.Jpn, 81(2012)023705	Tadashi KAWAMOTO,Takehiko MORI,Akiko NAKAO,Youichi MURAKAMI,John A. SCHLUETER		
629	JPS082083701	[(H3O)Ga(C2O4)3]:PhNO2	beta''-(BEDT-TTF)4[(H3O)Ga(C2O4)3]:PhNO2		BEDT-TTF							6.7			0																							Tc(H=4T) = 3.5 K, Tc(H=7T) = 2.8 K for H//b-axis. FM,AM abrupt increases below T<CDW> = 12K (charge instability. <13>C-NMR measured.			<13>C NMR Study of Superconductivity near Charge Instability Realized beta''-(BEDT-TTF)4[H3O)Ga(C2O4)3]:C6H5NO2	2013		Department of Physics, Graduate School of Science, Hokkaido University, Sapporo, Japan	J.Phys.Soc.Jpn, 82(2013)083701	Yoshihiko Ihara,Harumi Seki,Atsushi Kawamoto		
630	PRB083064506	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2		BEDT-TTF							9.32			0																		OHC630					Hc2(T) and H<FFLO> measured by torque measurements. H<FFLO> anomaly at H = 21 T appears from angular dependence of torque.	OHC630.dat		Magnetic torque evidence for the Fulde-Ferrell-Larkin-Ovchinnikov state in the layered organic superconductor kappa-(BEDT-TTF)2Cu(NCS)2	2011		Hochfeld-Magnetlabor Dresden (HLD), Forschungszentrum Dresden-Rossendorf, D-01314 Dresden, Germany	Phys.Rev.B, 83(2011)064506	B. Bergk,A. Demuer,I. Sheikin,Y. Wang,J. Wosnitza,Y. Nakazawa,R. Lortz		
631	JPS081023705	Ag(CH3)4(TCE)	kappa-alpha'(2)-(BEDT-TTF)2Ag(CH3)4(TCE)		BEDT-TTF							11																										4 layered structure composed of kappa- and alpha'- type donor sheets			Tc of 11K Identified for the Third Polymorph of the (BEDT-TTF)2Ag(CF3)4(TCE) Organic Superconductor	2012		Department of Organic and Polymeric Materials, Graduate School of Science and Engineering, Tokyo Institute of Technology, Meguro, Tokyo 152-8552, Japan	J.Phys.Soc.Jpn, 81(2012)023705	Tadashi KAWAMOTO,Takehiko MORI,Akiko NAKAO,Youichi MURAKAMI,John A. SCHLUETER		
632	JPS081023705	Ag(CH3)4(TCE)	kappa-alpha'(1)-(BEDT-TTF)2Ag(CH3)4(TCE)		BEDT-TTF							9.5																										2 layered structure composed of kappa- and alpha'- type donor sheets			Tc of 11K Identified for the Third Polymorph of the (BEDT-TTF)2Ag(CF3)4(TCE) Organic Superconductor	2012		Department of Organic and Polymeric Materials, Graduate School of Science and Engineering, Tokyo Institute of Technology, Meguro, Tokyo 152-8552, Japan	J.Phys.Soc.Jpn, 81(2012)023705	Tadashi KAWAMOTO,Takehiko MORI,Akiko NAKAO,Youichi MURAKAMI,John A. SCHLUETER		
633	JPS082064711	Cu[(N(CN)2]Br	kappa-(BEDT-TTF)2Cu[(N(CN)2]Br		BEDT-TTF							12			0																		OHC633					Fluctuating SC phase (FSC-phase) appears using magnetic torque measurements	OHC633.dat		Fluctuating Superconductivity in the Strongly Correlated Organic Superconductor kappa-(BEDT-TTF)2Cu[N(CN)2]Br	2013		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan	J.Phys.Soc,Jpn, 82(2013)064711	Satoshi TSUCHIYA,Jun-ichi YAMADA,Taichi TERASHIMA,Nobuyuki KURITA,Kota KODAMA,Kaori SUGII,Shinya UJI		
634	PCCP01316476	K3	K3-picene		Picene							7			0						30			180	0.095								OHC634					Tc= 7K phase. Hc measured by SUS.	OHC634.dat		Metal-intercalated aromatic hydrocarbons: a new class of carbon-based superconductors	2011		Research Laboratory for Surface Science, Okayama University, Okayama 700-8530, Japan.	Phys.Chem.Chem.Phys., 13(2011)16476	Yoshihiro Kubozono,Hiroki Mitamura,Xuesong Lee,Xuexia He,Yusuke Yamanari,Yosuke Takahashi,Yuta Suzuki,Yumiko Kaji,Ritsuko Eguchi,Koki Akaike,Takashi Kambe,Hideki Okamoto,Akihiko Fujiwara,Takashi Kato,Taichi Kosugi,Hideo Aoki		
635	PCCP01316476	K3	K3-picene		Picene							18			0									180	0.077								OHC635					Tc=18 K phase. Hc measured by SUS.	OHC635.dat		Metal-intercalated aromatic hydrocarbons: a new class of carbon-based superconductors	2011		Research Laboratory for Surface Science, Okayama University, Okayama 700-8530, Japan.	Phys.Chem.Chem.Phys., 13(2011)16476	Yoshihiro Kubozono,Hiroki Mitamura,Xuesong Lee,Xuexia He,Yusuke Yamanari,Yosuke Takahashi,Yuta Suzuki,Yumiko Kaji,Ritsuko Eguchi,Koki Akaike,Takashi Kambe,Hideki Okamoto,Akihiko Fujiwara,Takashi Kato,Taichi Kosugi,Hideo Aoki		
636	PCCP01316476	Rb3	Rb3-picene		Picene							7			0						8			570	0.13								OHC636					Hc measured by SUS.	OHC636.dat		Metal-intercalated aromatic hydrocarbons: a new class of carbon-based superconductors	2011		Research Laboratory for Surface Science, Okayama University, Okayama 700-8530, Japan.	Phys.Chem.Chem.Phys., 13(2011)16476	Yoshihiro Kubozono,Hiroki Mitamura,Xuesong Lee,Xuexia He,Yusuke Yamanari,Yosuke Takahashi,Yuta Suzuki,Yumiko Kaji,Ritsuko Eguchi,Koki Akaike,Takashi Kambe,Hideki Okamoto,Akihiko Fujiwara,Takashi Kato,Taichi Kosugi,Hideo Aoki		
637	PCCP01316476	Ca1.5	Ca1.5-picene		Picene							7			0						15			570	0.1								OHC637					Hc measured by SUS. SC volume fraction = 1.25 % at 2K	OHC637.dat		Metal-intercalated aromatic hydrocarbons: a new class of carbon-based superconductors	2011		Research Laboratory for Surface Science, Okayama University, Okayama 700-8530, Japan.	Phys.Chem.Chem.Phys., 13(2011)16476	Yoshihiro Kubozono,Hiroki Mitamura,Xuesong Lee,Xuexia He,Yusuke Yamanari,Yosuke Takahashi,Yuta Suzuki,Yumiko Kaji,Ritsuko Eguchi,Koki Akaike,Takashi Kambe,Hideki Okamoto,Akihiko Fujiwara,Takashi Kato,Taichi Kosugi,Hideo Aoki		
638	PCCP01316476	K3	K3-coronene		coronene	16.117	4.7039	10.099		111.025		15			0																							SC-volume fraction = 0.5 %. Tc = 3.5, 7, 11, 15 K are observed for samples, where (K:coronene = 3:1) annealed (573K, in vac(1E-5 Torr)			Metal-intercalated aromatic hydrocarbons: a new class of carbon-based superconductors	2011		Research Laboratory for Surface Science, Okayama University, Okayama 700-8530, Japan.	Phys.Chem.Chem.Phys., 13(2011)16476	Yoshihiro Kubozono,Hiroki Mitamura,Xuesong Lee,Xuexia He,Yusuke Yamanari,Yosuke Takahashi,Yuta Suzuki,Yumiko Kaji,Ritsuko Eguchi,Koki Akaike,Takashi Kambe,Hideki Okamoto,Akihiko Fujiwara,Takashi Kato,Taichi Kosugi,Hideo Aoki		
639	PRB0465822	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br		DEDT-TTF							11.4			0						1.9				0.78		3.88											[penet]  from  dM/d(lnH).  GL-parameter, Hc1 estimated using clean limit formulas.			Magnetic penetration depth of kappa-(BEDT-TTF)2Cu[N(CN)2]Br, determined from the reversible magnetization	1992		Institute for Materials Research, Tohoku University, Sendai 980, Japan	Phys.Rev.B, 46(1992)5822	M.Lang,N.Toyota,T.Sasaki,H.Sato		
640	JPS084054601	AuI2	(DMET)2AuI2		DMET							0.5			0.5																		OTP640	OTHC640				T<SDW> = 16 K. Thermal conductivity k has two independent Debye terms with Debye-T = 79 and 340 K. K(200K) = 4 W/K.m. There appears max value at 70K in k(T)	OTP640.dat	OTHC640.dat	Thermal Conductivity of Molecular Crystal with Various Types of Chemical Bonding: Quasi-One-Dimensional Organic Superconductor (DMET)2AuI2	2015		Graduate School of Science, Osaka City University, Osaka 558-8585, Japan	J.Phys.Soc.Jpn, 84(2015)054601	Yoshiki Iwasaki,Harukazu Yoshino,Natsuki Kuroda,Koichi Kikuchi,Keizo Murata		
641	JPS084063704	GaCl4	ramda-(BEDT-STF)2GaCl4		BEDT-TSF	16.207	18.293	6.579	98.488	97.04	112.33	5	5.75	1.35	1.22																		OTC641					samples prepared by standard electrochemical method. R(300)/R(6K) = 40 at 1.60 GPa for #A and  = 3 at P=1.90 GPa for #B. T<MI> is metal-insulator transition	OTC641.dat		Superconducting Phase in ramda-(BEDT-STF)2GaCl4 at High Pressures	2015		Department of Physics, Hokkaido University, Sapporo 060-0810, Japan	J.Phys.Soc.Jpn, 84(2015)063704	Takaaki Minamidate,Yuki Oka,Hironori Shindo,Toshitaka Yamazaki,Noriaki Matsunaga,Kazushige Nomura,Atsushi Kawamoto		
642	JPS084064713	Cu[N(CN)2]Br	kappa-(d-[3:3]BEDT-TTF)2Cu[N(CN)2]Br		BEDT-TTF							11.9															7.8	1										Energy gap measured by STS(tunneling spectroscopy)  at 1.2 K on the a-c plane. gap d(0) = 4.0 meV			Tunneling Spectroscopy in Organic Superconductor kappa-(BEDT-TTF-d[3,3])2Cu[N(CN)2]Br	2015		Department of Physics, Hokkaido University, Sapporo 060-0810, Japan	J.Phys.Soc.Jpn, 84(2015)064713	Yuki Oka,Hiroyoshi Nobukane,Noriaki Matsunaga,Kazushige Nomura,Kazuhiro Katono,Koichi Ichimura,Atsushi Kawamoto		
643	JPS084094709	SF5CH2CF2SO3	beta''-(BEDT)2SF5CH2CF2SO3		BEDT-TTF							5.1			0																		OHC643-1	OHC643-2				Anisotropy and angular dependence of Hc2 were measured. Sample A (Tc=5.1K), B (Tc= 5.2 K)	OHC643-1.dat	OHC643-2.dat	In-Plane Anisotropy of Upper Critical Field and Flux-Flow Resistivity in Layered Organic Superconductor beta''-(ET)2SF5CH2CF2SO3	2015		Research Center for Condensed Matter Physics, Hiroshima Institute of Technology, Hiroshima 731-5193, Japan	J.Phys.Soc.Jpn, 84(2015)094709	Syuma Yasuzuka,Shinya Uji,Taichi Terashima,Kaori Sugii,Takayuki Isono,Yoritsugu Iida,John A. Schlueter		
644	JPS084104709	GaCl4	ramda-(BETS)2GaCl4	3	BETS							6																					OHC644					RRR = 300. R(T) max at 80 K. R-peak appears below Tc(onset) and depends on angle between ac-plane and b*. H//c (defined as R(onset) ) measured .	OHC644.dat		Vortex Dynamics and Diamagnetic Torque Signals in Two Dimensional Organic Superconductor ramda-(BETS)2GaCl4	2015		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan	J.Phys.Soc.Jpn, 84(2015)104709	Shinya Uji,Kouta Kodama,Kaori Sugii1,Taichi Terashima,Takahide Yamaguchi,Nobuyuki Kurita,Satoshi Tsuchiya,Takako Konoike,Motoi Kimata,Akiko Kobayashi,Biao Zhou,Hayao Kobayashi		
645	PHC5140199	K3	K3-picene		picene							14			0																							SC-volume = 3.9% at 2K.			Superconductivity in aromatic hydrocarbons	2015		Research Laboratory for Surface Science, Okayama University, Okayama 700-8530, Japan	Physica C, 514(2015)199	Yoshihiro Kubozono,Hidenori Goto,Taihei Jabuchi,Takayoshi Yokoya,Takashi Kambe,Yusuke Sakai,Masanari Izumi,Lu Zheng,Shino Hamao,Huyen L.T. Nguyen,Masafumi Sakata,Tomoko Kagayama,Katsuya Shimizu		
646	PHC5140199	K3	K3-[7]phenacene		phenacene							11			0																							SC-volume = 0.1% at 2K.			Superconductivity in aromatic hydrocarbons	2015		Research Laboratory for Surface Science, Okayama University, Okayama 700-8530, Japan	Physica C, 514(2015)199	Yoshihiro Kubozono,Hidenori Goto,Taihei Jabuchi,Takayoshi Yokoya,Takashi Kambe,Yusuke Sakai,Masanari Izumi,Lu Zheng,Shino Hamao,Huyen L.T. Nguyen,Masafumi Sakata,Tomoko Kagayama,Katsuya Shimizu		
647	PHC5140199	Sr1.5	Sr1.5-phenanthrene		phenanthrene							6			0																							SC-volume = 4% at 2K. Tc(SUS) = 5.3 K.			Superconductivity in aromatic hydrocarbons	2015		Research Laboratory for Surface Science, Okayama University, Okayama 700-8530, Japan	Physica C, 514(2015)199	Yoshihiro Kubozono,Hidenori Goto,Taihei Jabuchi,Takayoshi Yokoya,Takashi Kambe,Yusuke Sakai,Masanari Izumi,Lu Zheng,Shino Hamao,Huyen L.T. Nguyen,Masafumi Sakata,Tomoko Kagayama,Katsuya Shimizu		
648	PHC5140199	Kx	Kx-DBP		DBP							30			0																							Sample has two-phases: Tc1 = 30K, Tc2 = 7K. , corresponding to different x in Kx-DBP. DBP = dibenzopentacene			Superconductivity in aromatic hydrocarbons	2015		Research Laboratory for Surface Science, Okayama University, Okayama 700-8530, Japan	Physica C, 514(2015)199	Yoshihiro Kubozono,Hidenori Goto,Taihei Jabuchi,Takayoshi Yokoya,Takashi Kambe,Yusuke Sakai,Masanari Izumi,Lu Zheng,Shino Hamao,Huyen L.T. Nguyen,Masafumi Sakata,Tomoko Kagayama,Katsuya Shimizu		
